                                                        Feff 6L.02  potph 4.12
 Abs   Z=78 Rmt= 1.378 Rnm= 1.496 LIII shell
 Pot 1 Z=78 Rmt= 1.387 Rnm= 1.514
 Gam_ch=4.825E+00 H-L exch
 Mu=-3.365E+00 kf=1.972E+00 Vint=-1.818E+01 Rs_int= 1.839
 Path    1      icalc       2                           Feff 6L.02  genfmt 1.44 
 -------------------------------------------------------------------------------
   2  12.000   2.7719    2.8602   -3.36489 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  78 Pt       absorbing atom
     0.0000    1.9600   -1.9600  1  78 Pt    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  5.2250E+00  0.0000E+00 -8.1306E+00  0.1034E+01  6.2494E+00  1.9785E+00
  0.200  5.2224E+00  4.7041E-02 -9.2127E+00  0.1035E+01  6.2795E+00  1.9881E+00
  0.400  5.2144E+00  8.4671E-02 -1.0247E+01  0.1039E+01  6.3656E+00  2.0167E+00
  0.600  5.2002E+00  1.0801E-01 -1.1247E+01  0.1045E+01  6.4959E+00  2.0635E+00
  0.800  5.1786E+00  1.1880E-01 -1.2232E+01  0.1051E+01  6.6519E+00  2.1276E+00
  1.000  5.1487E+00  1.2425E-01 -1.3207E+01  0.1058E+01  6.8116E+00  2.2078E+00
  1.200  5.1096E+00  1.3242E-01 -1.4142E+01  0.1064E+01  6.9525E+00  2.3030E+00
  1.400  5.0610E+00  1.4630E-01 -1.4977E+01  0.1070E+01  7.0575E+00  2.4125E+00
  1.600  5.0025E+00  1.6243E-01 -1.5670E+01  0.1075E+01  7.1199E+00  2.5357E+00
  1.800  4.9338E+00  1.7487E-01 -1.6210E+01  0.1081E+01  7.1477E+00  2.6721E+00
  2.000  4.8544E+00  1.7927E-01 -1.6591E+01  0.1085E+01  7.1651E+00  2.8217E+00
  2.200  4.7630E+00  1.7568E-01 -1.6797E+01  0.1088E+01  7.2120E+00  2.9848E+00
  2.400  4.5623E+00  1.8967E-01 -1.6567E+01  0.1113E+01  6.8920E+00  3.2159E+00
  2.600  4.5790E+00  1.8854E-01 -1.6528E+01  0.1206E+01  5.1682E+00  3.3414E+00
  2.800  4.5749E+00  2.1993E-01 -1.6501E+01  0.1244E+01  4.5975E+00  3.4743E+00
  3.000  4.5628E+00  2.7487E-01 -1.6521E+01  0.1257E+01  4.3603E+00  3.6144E+00
  3.200  4.5320E+00  3.3417E-01 -1.6636E+01  0.1254E+01  4.2727E+00  3.7609E+00
  3.400  4.5018E+00  3.8994E-01 -1.6790E+01  0.1248E+01  4.2683E+00  3.9135E+00
  3.600  4.4623E+00  4.2380E-01 -1.6951E+01  0.1234E+01  4.3170E+00  4.0713E+00
  3.800  4.4183E+00  4.3609E-01 -1.7132E+01  0.1221E+01  4.4024E+00  4.2338E+00
  4.000  4.3677E+00  4.2873E-01 -1.7297E+01  0.1205E+01  4.5152E+00  4.4005E+00
  4.200  4.3111E+00  4.0067E-01 -1.7487E+01  0.1191E+01  4.6493E+00  4.5709E+00
  4.400  4.2491E+00  3.6358E-01 -1.7662E+01  0.1177E+01  4.8006E+00  4.7444E+00
  4.600  4.1823E+00  3.2289E-01 -1.7883E+01  0.1163E+01  4.9662E+00  4.9207E+00
  4.800  4.1108E+00  2.7909E-01 -1.8110E+01  0.1150E+01  5.1440E+00  5.0995E+00
  5.000  4.0346E+00  2.3970E-01 -1.8369E+01  0.1137E+01  5.3325E+00  5.2803E+00
  5.200  3.9581E+00  2.1224E-01 -1.8675E+01  0.1125E+01  5.5305E+00  5.4631E+00
  5.400  3.8764E+00  2.0013E-01 -1.9026E+01  0.1112E+01  5.7368E+00  5.6475E+00
  5.600  3.7939E+00  2.0399E-01 -1.9352E+01  0.1100E+01  5.9508E+00  5.8334E+00
  5.800  3.7127E+00  2.2345E-01 -1.9636E+01  0.1089E+01  6.1718E+00  6.0205E+00
  6.000  3.6302E+00  2.5184E-01 -1.9861E+01  0.1077E+01  6.3993E+00  6.2088E+00
  6.500  3.4267E+00  3.2494E-01 -2.0209E+01  0.1051E+01  6.9934E+00  6.6836E+00
  7.000  3.2235E+00  3.7432E-01 -2.0393E+01  0.1026E+01  7.6198E+00  7.1632E+00
  7.500  3.0202E+00  3.8842E-01 -2.0486E+01  0.1005E+01  8.2745E+00  7.6464E+00
  8.000  2.8126E+00  3.7682E-01 -2.0512E+01  0.9863E+00  8.9547E+00  8.1324E+00
  8.500  2.6120E+00  3.5450E-01 -2.0478E+01  0.9719E+00  9.6580E+00  8.6206E+00
  9.000  2.4102E+00  3.3132E-01 -2.0392E+01  0.9598E+00  1.0383E+01  9.1105E+00
  9.500  2.2178E+00  3.1305E-01 -2.0260E+01  0.9505E+00  1.1127E+01  9.6018E+00
 10.000  2.0305E+00  3.0900E-01 -2.0100E+01  0.9427E+00  1.1890E+01  1.0094E+01
 11.000  1.6689E+00  3.5093E-01 -1.9837E+01  0.9327E+00  1.3467E+01  1.1082E+01
 12.000  1.3310E+00  4.1741E-01 -1.9729E+01  0.9263E+00  1.5107E+01  1.2072E+01
 13.000  1.0137E+00  4.7903E-01 -1.9730E+01  0.9225E+00  1.6804E+01  1.3065E+01
 14.000  7.1461E-01  5.1978E-01 -1.9793E+01  0.9207E+00  1.8553E+01  1.4058E+01
 15.000  4.3486E-01  5.3970E-01 -1.9881E+01  0.9198E+00  2.0351E+01  1.5053E+01
 16.000  1.7287E-01  5.4074E-01 -1.9994E+01  0.9193E+00  2.2192E+01  1.6048E+01
 17.000 -7.5676E-02  5.2715E-01 -2.0114E+01  0.9178E+00  2.4076E+01  1.7045E+01
 18.000 -3.1225E-01  5.0479E-01 -2.0252E+01  0.9163E+00  2.5998E+01  1.8041E+01
 19.000 -5.3767E-01  4.7478E-01 -2.0388E+01  0.9155E+00  2.7957E+01  1.9039E+01
 20.000 -7.4485E-01  4.4312E-01 -2.0523E+01  0.9149E+00  2.9950E+01  2.0036E+01
